"","lon","lat"
"236",-70.155,-19.747
"237",-70.155,-19.746
"238",-70.156,-19.745
"239",-70.156,-19.743
"240",-70.155,-19.743
"241",-70.156,-19.742
"242",-70.156,-19.74
"243",-70.154,-19.738
"244",-70.153,-19.738
"245",-70.153,-19.738
"246",-70.153,-19.734
"247",-70.152,-19.733
"248",-70.152,-19.73
"249",-70.154,-19.728
"250",-70.154,-19.72
"251",-70.156,-19.718
"252",-70.157,-19.718
"253",-70.157,-19.718
"254",-70.157,-19.715
"255",-70.159,-19.713
"256",-70.16,-19.713
"257",-70.161,-19.712
"258",-70.163,-19.712
"259",-70.164,-19.712
"260",-70.164,-19.71
"261",-70.166,-19.708
"262",-70.166,-19.705
"263",-70.167,-19.704
"264",-70.167,-19.703
"265",-70.169,-19.702
"266",-70.169,-19.701
"267",-70.169,-19.7
"268",-70.17,-19.7
"269",-70.17,-19.7
"270",-70.17,-19.699
"271",-70.171,-19.699
"272",-70.172,-19.699
"273",-70.172,-19.698
"274",-70.172,-19.698
"275",-70.173,-19.696
"276",-70.174,-19.697
"277",-70.177,-19.697
"278",-70.177,-19.697
"279",-70.176,-19.696
"280",-70.176,-19.695
"281",-70.175,-19.693
"282",-70.175,-19.693
"283",-70.174,-19.692
"284",-70.173,-19.692
"285",-70.172,-19.691
"286",-70.172,-19.69
"287",-70.171,-19.689
"288",-70.171,-19.688
"289",-70.169,-19.686
"290",-70.168,-19.686
"291",-70.165,-19.684
"292",-70.165,-19.683
"293",-70.167,-19.681
"294",-70.166,-19.68
"295",-70.166,-19.678
"296",-70.165,-19.678
"297",-70.166,-19.677
"298",-70.169,-19.677
"299",-70.173,-19.674
"300",-70.173,-19.674
"301",-70.175,-19.672
"302",-70.177,-19.672
"303",-70.177,-19.672
"304",-70.177,-19.671
"305",-70.178,-19.67
"306",-70.178,-19.669
"307",-70.177,-19.668
"308",-70.176,-19.668
"309",-70.175,-19.668
"310",-70.175,-19.667
"311",-70.175,-19.666
"312",-70.175,-19.665
"313",-70.174,-19.664
"314",-70.174,-19.663
"315",-70.171,-19.66
"316",-70.17,-19.658
"317",-70.171,-19.657
"318",-70.171,-19.656
"319",-70.173,-19.655
"320",-70.173,-19.655
"321",-70.174,-19.654
"322",-70.174,-19.653
"323",-70.178,-19.649
"324",-70.179,-19.649
"325",-70.18,-19.648
"326",-70.18,-19.648
"327",-70.18,-19.647
"328",-70.181,-19.647
"329",-70.183,-19.645
"330",-70.184,-19.645
"331",-70.186,-19.644
"332",-70.187,-19.644
"333",-70.189,-19.642
"334",-70.189,-19.638
"335",-70.19,-19.638
"336",-70.19,-19.637
"337",-70.191,-19.635
"338",-70.192,-19.635
"339",-70.193,-19.634
"340",-70.194,-19.634
"341",-70.195,-19.633
"342",-70.199,-19.633
"343",-70.201,-19.631
"344",-70.202,-19.631
"345",-70.202,-19.631
"346",-70.202,-19.63
"347",-70.204,-19.628
"348",-70.206,-19.628
"349",-70.207,-19.627
"350",-70.211,-19.627
"351",-70.211,-19.627
"352",-70.208,-19.624
"353",-70.208,-19.624
"354",-70.206,-19.623
"355",-70.206,-19.622
"356",-70.206,-19.621
"357",-70.205,-19.621
"358",-70.204,-19.62
"359",-70.204,-19.619
"360",-70.204,-19.619
"361",-70.205,-19.619
"362",-70.206,-19.618
"363",-70.21,-19.618
"364",-70.212,-19.616
"365",-70.212,-19.615
"366",-70.214,-19.613
